1	AIAN-16-292-g001	where is the lesion located?
2	1757-1626-0002-0000007275-001	what does the abdominal ct show?
3	jkms-25-1536-g002	where is the lesion located?
4	IJRI-23-243-g004	what is the hypointense signal suggestive of?
5	kjh-47-142-g001	what does the chest ct image show?
6	1477-7819-10-209-1	what does the mri of the pelvis show (white arrow)?
7	CEJU-66-00217-g006	where are the lesions formed?
8	1758-2555-2-24-4	what does ct and spect ct show?
9	crn-0007-0134-g01	where is the abnormality located?
10	JIAPS-20-68-g003	what does the ct scan confirm?
11	1757-1626-1-293-3	what does the ct demonstrate?
12	fneur-06-00130-g005	what does the structural mri show?
13	IJRI-23-243-g005	where is the lesion located?
14	JPN-5-42-g001	where is the mass located?
15	AJNS-7-135-g001	what does the contrast-enhanced ct scan show?
16	ABR-4-169-g001	what does the contrast axial ct scan show?
17	JNRP-6-91-g003	is there any lesion in this image?
18	wjem-16-766-g002	what does the pelvic ct show (arrow)?
19	aob-21-226-g11	where is the abnormality located?
20	crn-0007-0134-g01	what does the ct brain demonstrate?
21	IJN-25-234-g002	what kind of image is this?
22	LI-26-26-g004	what does the ct thorax show?
23	1757-1626-3-29-2	is there any evidence of small vascular anomalies?
24	1757-1626-2-9376-2	what condition is shown in the image?
25	JOMFP-15-214-g008	where is the lesion located (arrow)?
26	JNSBM-3-105-g001	what does the ct brain demonstrate?
27	Tanaffos-13-055-g001	what does the ct scan of the chest show?
28	1757-1626-2-115-6	what does the mri of the ankle show?
29	1757-1626-2-9142-9	is there any sign of bowel obstruction?
30	1865-1380-4-64-5	what does the CT scan of the abdomen and pelvis show?
31	sfp144fig1	what does ct image reconstruction show (arrow)?
32	13052_2015_195_Fig3_HTML	what does the ct reveal?
33	IJMPO-30-144-g002	what is associated with the lesion?
34	aob-21-226-g11	what does the sagittal ct scan image show?
35	JPN-5-167-g002	what does the magnetic resonance imaging t2w axial sequence show?
36	crg0002-0373-f01	what does the ct image show?
37	IJU-28-193-g001	what does the reformatted sagittal ct scan show?
38	biij-08-e11-g03	are the surrounding bowels well separated from the lesion (black arrows)?
39	13104_2015_1232_Fig3_HTML	where is the abnormality located?
40	JCIS-1-39-g008	what are the lesions in the kidneys consistent with?
41	kjr-8-545-g001	what does the lung ct show?
42	AIAN-16-259-g003	what is the abnormality indicative of?
43	2251-6581-13-38-3	where is the lesion located?
44	JPN-5-25-g002	what's the name of the foreign object in this ct of the head?
45	1752-1947-4-202-3	what does the ct scan of abdomen show?
46	ATM-7-104-g001	what does the ct scan show?
47	crj-02-171-g001	where are the lesions located?
48	JCIS-1-39-g008	what other abnormalities are associated within the kidneys?
49	1757-1626-2-9091-2	what is the lesion suggesting?
50	AIM-22-413-g001	where is the lesion located?
51	LI-26-48-g003	what does the ct scan of the chest show?
52	SJG-14-206-g002	Is the mass found within the intestines?
53	IJN-23-119-g005	what condition is the non-contrast ct suggestive of?
54	IJRI-23-243-g007	what does the axial fat supressed t1w mri show?
55	SAJC-2-153-g001	where is the mass located?
56	PAMJ-11-68-g003	where is the lesion located?
57	opth-7-1825Fig1	what does the Axial gadolinium-enhanced T1-weighted mrie show?
58	cpath-2009-005f2	what does the ct scan show?
59	1757-1626-0002-0000006866-008	what does the sagittal reconstruction of ct cystography show?
60	ccr30003-0057-f1	what is associated with the abnormalities?
61	IJRI-23-243-g003	does sagittal t2w mri show a normal uterus and cervix?
62	40064_2013_635_Fig2_HTML	what does this axial t2 weighted mri show?
63	jocmr-07-122-g002	what other abnormality is shown in the image?
64	kjh-47-142-g001	what does the chest ct image show?
65	crg0002-0040-f01	what does the thoracic ct scan show?
66	IJRI-24-339-g019	what does the axial ct demonstrate (arrow)?
67	cro-0007-0444-g03	what abnormalities are associated with the lesion?
68	jcen-14-104-g003	what does the ct on the right reveal?
69	LI-26-26-g003	where is the lesion seen?
70	LI-25-20-g003	what is associated with the lesion?
71	13104_2013_3123_Fig1_HTML	what does the ct scan of the abdomen and pelvis reveal (arrow)?
72	JOMFP-15-214-g008	what does the ct scan of chest reveal?
73	JPN-5-167-g003	what does the t2w axial magnetic resonance image show?
74	JOMFP-16-406-g004	what does the ct scan of the face show?
75	AIAN-16-259-g003	what does the t1 mri of the brain show?
76	IJRI-19-293-g003	what anatomical structure is on the right side of the lesion?
77	IJCCM-18-609-g002	what are the lesions suggestive of?
78	ABR-4-169-g001	where is the mass located?
79	LI-26-26-g004	where is the vessel draining into (arrow)?
80	ccr30003-0057-f1	what does the brain ct reveal?
81	1471-2482-10-30-3	what kind of image is this?
82	crj-02-171-g001	what does the thoracic ct show?
83	IJMR-137-398-g001	what is the lesion located?
84	cro-0008-0295-g02	where is the abnormality located?
85	jcen-15-311-g004	does the image show a midline shift?
86	1749-8090-9-110-5	what is the size (diameter) of the nodule?
87	IJRI-18-80-g005	Is the appendix dilated?
88	IJRI-23-243-g007	what is the lesion suggestive of?
89	1757-1626-1-228-3	where is the abnormality found?
90	PAMJ-19-370-g002	what is the cyst located?
91	IJOrtho-47-624-g002	does the mri (midsagittal view) show spinal cord edema?
92	10.1177_2047981614545667-fig2	what does the Axial T2W MRI show?
93	1752-1947-4-94-1	what does the mri of the brain show?
94	1471-2261-14-13-2	what does the t2 weighted mri show?
95	0392-100X-32-133-g001b	what does the coronal mri t2 weighted image show?
96	1471-2377-6-33-1	where are the lesions located?
97	PAMJ-19-370-g002	what does the abdominal ct show?
98	AJNS-10-327-g001	what is the lesion suggestive of?
99	SJA-5-326-g002	what does the sagittal ct lung scan show?
100	SAJC-2-245-g002	where is the tumor located?
101	IJRI-23-243-g001	Does the image show two uterine cervices?
102	rjv07702	what does the mri show?
103	1471-2377-6-33-4	Are there any changes in the pons?
104	1471-2377-13-134-7	what does the ct show??
105	fneur-06-00130-g005	does the PET scan show abnormal tracer accumulation?
106	rjv07701	what does the ct show?
107	iranjradiol-08-245-g002	what does the ct scan of the proximal left leg show?
108	SNI-4-162-g002	where device does the ct topogram show?
109	JPN-5-167-g003	where are the lesions located?
110	1752-1947-5-222-2	what does the cerebral mri show?
111	SJA-5-326-g002	Is the lesion obstructing the trachea?
112	kjr-8-545-g001	where are the lesions found?
113	JFMPC-3-440-g001	is there an area of infarction on the image?
114	ccrep-1-2008-077f2	what does the ct scan demonstrate?
115	1752-1947-0003-0000008626-1	what does the ct demonstrate?
116	IJA-58-762-g001	where are the lesions located?
117	DRJ-11-518-g007	where side of the face is infiltrated by the lesion?
118	ni-2014-2-5519-g001	where is the lesion located (arrows)?
119	crj-02-142-g001	where are the lesions located?
120	ccr30002-0062-f1	does the image show muscle herniating into the defect?
121	NJMS-3-51-g004	what does the ct scan?
122	LI-26-48-g003	which side of the diagram is affected?
123	1757-1626-2-17-1	does the lesion show air-fluid level in it?
124	AJTS-5-188-g001	what does the ct pulmonary angiogram show?
125	AIAN-16-304-g002	where are the lesions located?
126	crg0002-0363-f01	what does the ct enterography show?
127	AJNS-10-327-g001	what does the mri show?
128	1806-3713-jbpneu-39-01-00116-gf01	what does the chest ct scan show?
129	IJRI-19-293-g003	what anatomical structures are on the left side of the lesion?
130	1756-0500-7-9-1	what does the sagittal ct image show?
131	1758-2555-2-24-5	what does ct and spect ct show?
132	12883_2015_437_Fig3_HTML	which conditions are indicated by the lesions?
133	IJOrtho-47-515-g003	what does the magnetic resonance imaging of left knee show?
134	12887_2015_356_Fig2_HTML	where is the lesion located?
135	JPN-8-55-g005	what does the magnetic resonance image of spine sagittal view show?
136	JPN-4-127-g007	what condition is associated with the lesion?
137	jcen-14-104-g003	what does the ct on the left reveal?
138	NAJMS-6-487-g002	where is the abnormality located?
139	1757-1626-0002-0000007365-001	what does the ct of the abdomen demonstrate?
140	IJRI-18-80-g002	what other abnormality is shown in the image?
141	omv05101	where is the lesion located?
142	2251-6581-13-38-2	what does the mri show?
143	JNRP-1-118-g001	where is the lesion located?
144	IJRI-18-80-g001	where is the lesion located?
145	40064_2013_635_Fig2_HTML	what are the lesions suggestive of?
146	Tanaffos-13-055-g001	where does the lesion extend to?
147	10.1177_2047981614545667-fig2	where are the lesions located?
148	PAMJ-11-68-g003	what does the ct show?
149	1471-2482-10-30-2	what does the image demonstrate?
150	1757-1626-0002-0000006866-007	what does the coronal reconstruction of ct cystography show?
151	AJNS-7-135-g001	Is there erosion of bone erosion in this image?
152	jkms-24-1195-g004	what does the abdominal ct show?
153	IJRI-23-243-g004	what does the sagittal t2w mri show?
154	1757-1626-3-29-1	which anatomical structure is affected?
155	AJNS-7-135-g001	On which side of the face are the abnormalities located?
156	jgc-14-275-g003	what does the magnetic resonance imaging show?
157	pone.0125121.g001	what kind of image is this?
158	1757-1626-0002-0000007346-003	what does the coronal multiplanar reformation ct image demonstrate?
159	IJEM-17-733-g001	what does the ct abdomen show?
160	1752-1947-0003-0000007315-002	what anatomical structures are found in the sac ?
161	jcn-9-133-g001	what does the t2 weighted mri image reveal?
162	AJNS-7-135-g003	what does post operative the ct scan show?
163	40064_2012_66_Fig1_HTML	what does the ct of the brain demonstrate?
164	cpath-2009-005f2	where is the lesion located?
165	crj-02-242-g003	what device does the ct show?
166	1471-2261-14-13-2	where is the lesion located?
167	IJEM-17-733-g001	where is the abnormality found?
168	AIAN-16-292-g001	what does the t2w mri brain show?
169	1757-1626-0002-0000007275-009	what does the abdominal ct show?
170	AnnGastroenterol-24-221-g001	what does the ct show?
171	IJO-62-622-g008	where does the axial ct scan of the brain show a cyst?
172	1749-8090-9-110-5	what does the ct show?
173	1746-1596-7-139-1	where is the lesion located?
174	SJG-14-206-g002	what does the contrast enhanced abdominal ct scan reveal?
175	NAJMS-6-487-g003	is there any evidence of pneumothorax in this image?
176	PAMJ-19-124-g001	where is the lesion found?
177	IJEM-16-315-g003	what does the mri show?
178	UA-7-236-g001	what does the ct abdomen show?
179	LI-25-20-g002	what does the ct thorax show?
180	PAMJ-19-124-g001	what does the cranial bone ct image show?
181	1757-1626-3-81-1	what does the non contrast ct show?
182	IJRI-19-36-g010	what does the stir coronal mri show (black arrow)?
183	JPN-8-55-g004	what does the magnetic resonance imaging show?
184	SAJC-2-245-g002	what does the ct image of the brain show?
185	1757-1626-0002-0000007365-003	In which thigh does the ct show the abnormality?
186	2251-6581-13-38-2	where is the lesion located?
187	ndtplussfr088f02_ht	is there any evidence of an abscess?
188	IJRI-18-171-g003	what does the image show the abnormality?
189	IJRI-24-350-g005	what does the axial unenhanced ct image show ?
190	IJRI-18-80-g004	what does the plain ct scan show?
191	SJG-14-206-g001	what does the contrast enhanced abdominal ct scan demonstrate?
192	crj-02-171-g002	what does the cranial ct show?
193	DRJ-11-518-g007	what does the cranial ct scan show ?
194	JPN-4-127-g006	what other abnormality can be seen in the image?
195	1757-1626-2-9091-2	what does th mri of the upper abdomen show?
196	10.1177_2047981614562443-fig21	Could the recess be mistaken for subcarinal lymphadenopathy?
197	IJCCM-14-205-g005	what conditions does the ct chest show?
198	IJU-28-193-g001	where is the lesion located?
199	GMS-07-28-g-002	what does the ct abdomen show?
200	IJMR-137-398-g001	what does the ct scan show?
201	1746-1596-7-139-1	what is the size (largest diameter) of the lesion?
202	1754-9493-3-19-1	where does the ct thorax show contrast leak?
203	jocmr-07-122-g002	what does the ct show?
204	JNRP-1-43-g001	what is the lesion suggestive of?
205	IJRI-18-80-g002	what does the contrast-enhanced ct scan show?
206	jcen-15-311-g004	where are the lesions located?
207	jgc-14-275-g003	what does the magnetic resonance imaging demonstrate edema of?
208	SAJC-2-153-g001	Does the mass show necrosis within it?
209	IJRI-18-80-g002	what condition is the lesion suggestive of?
210	LI-25-165-g002	where is the lesion located?
211	trd-72-448-g002	where are the lesions located?
212	opth-7-1825Fig1	Is the anophthalmic orbit totally occupied by the lesion?
213	biij-08-e11-g03	what does the contrast enhanced pelvic ct in axial section show?
214	MJIRI-26-140-g001	where is the abnormality located?
215	jgc-14-275-g003	where is the large pelvic mass arising from?
216	1471-2253-12-8-1	what conditions are indicated in the ct scan?
217	jovr-6-1-047f1	Does the lesion have intracranial extension?
218	IJRI-24-350-g005	what does the appearance of the liver indicate?
219	IJEM-17-505-g002	are the ovaries absent?
220	LI-25-168-g002	does the image show mediastinal lymphadenopathy?
221	ATM-04-75-g031	what does the scout film and axial ct scan show?
222	IJEM-16-315-g003	which anatomical organ is affected?
223	SHORTS-12-00402	what does the chest ct show?
224	PAMJ-19-124-g001	what is the size (diameter) of the lesion?
225	kjs-10-170-g002	what does the mid sagittal and axial mri of the cervical spine show?
226	1865-1380-4-64-2	where is the abnormality shown?
227	IJRI-19-293-g001	what does the axial ct scan show?
228	CEJU-65-00227-g001	Is the urinary bladder full?
229	JOMFP-16-406-g005	what does the ct scan show?
230	0392-100X-32-133-g001b	where is the lesion located?
231	12957_2015_581_Fig2_HTML	where is the lesion located?
