1what show narrowing of spinal canal at c3 c7?	1752-1947-5-167-1	sagittal t2 weighted mri
2what shows l3 infectious spondylitis with bilateral psoas muscle abscess extension?	medi-93-e190-g002	coronal t2 weighted mri
3what show a mass in  frontal sinus?	ymj-52-1044-g001	coronal mri
4what show abnormal signals in sigmoid sinus?	wjps-1-107-g001	axial brain mri in t2 weighted sequence
5what show no associated cervical kyphosis?	cln-66-07-1295-g003	sagittal and coronal mri imaging of  cervical spine
6what show a cirrhotic liver with a hypointense lesion in  caudate lobe of liver?	AnnGastroenterol-26-150-g001	mri picture
7what show medullary compression and disruption of ligaments?	arm-37-438-g002	 t2 weighted mri of  cervical spine in  sagittal section
8what show longitudinally extensive transverse myelitis involving  cervical and upper thoracic cord?	AIAN-18-11-g002	T2-weighted mri scan
9what show a csf intensity cystic lesion in right temporoparietal region?	JNRP-4-125-g003	mri t2w image of brain
10what show  dorsal spinal cord with hyperintensity involving  posterior and lateral columns before treatment?	1752-1947-5-166-4	sagittal t2 weighted mri
11what shows  course of  right third nerve as it meets  arachnoid cyst?	SNI-4-87-g003	fiesta mri
12what show  typical molar tooth configuration of  superior cerebellar peduncles?	IJRI-18-96-g003	axial t2w mri of  brain
13what show large lipoma extending subcutaneously through  bony defect?	IJOrtho-41-72-g006	saggittal t1w mri
14what show  multiple cerebral infarctions in both high frontal lobes?	jcu-19-35-g001	brain mri
15what show an intradural hematoma at  l2 l3 vertebral level?	asj-8-516-g002	lumbar sagittal mri
16what shows a predominantly low signal intensity nodule in  synovial sheath of  flexor hallucis longus tendon?	1746-1340-15-18-4	sagittal mri of  right ankle
17what show reduction of  volume of  right liver lobe?	1750-1172-5-4-1	abdomen mri
18what show cbd stones?	1752-1947-5-3-2	abdominal mri
19what show intensity changes in  bullet tract against c7 d2?	SNI-2-122-g003	sagittal mri
20what shows an echodense right atrial mass concerning for malignancy?	crj-02-181-g001	t2 weighted mri image
21what show homogenous intensity of  accessory center?	IJO-42-91-g002	t2 wi mri of  right ankle
22what show a bifrontal dural based lesion with involvement of  falx?	AJNS-5-19-g004	mri of  brain
23what show diffuse hypoxic brain damage?	arm-36-418-g001	brain mri
24what shows sacralization of l5 vertebra?	kjr-15-258-g003	sagittal t2 weighted mri of woman
25what show bilateral maxillary and ethmoidal inflammatory sinusitis right orbit proptosis?	JNSBM-6-226-g003	t2 weighted mri
26what show a reduction of  subcortical edema?	cro0004-0082-f02	brain mri
27what was  mass of?	40064_2013_975_Fig2_HTML	of high intensity in t2 weighted mri images
28what show  increase in anteroposterio diameter of  dural sac?	IJA-58-199-g001	contrast mri
29what show a pelvic kidney with a normal nephrogram and  surrounding fatty tissue?	JMAS-01-133-g002	postoperative mri
30what show intra axial t2 hyperintense parenchymal lesion in right cerebellum?	JNSBM-5-170-g001	 mri of cranium
31what show intramedullary abscess with rim enhancement extending from d6 to conus level?	JPN-7-61-g001	contrast enhanced sagittal t1 weighted mri
32what shows a significant mass reduction?	cro0003-0434-f03	mri of  thorax after chemorapy regimen
33what show  disc herniation?	IJOrtho-45-74-g002	preoperative axial t2w1 and t1w1 mri images
34what show  case of a tuberculum sellae meningioma?	tm-02-36-e011	a preoperative mri scan
35what show adequate excision and no residual contrast enhancing regions?	AJNS-7-32-g005	immediate post operative contrast mri
36what show thickening and pathological appearance of  acl?	1749-799X-1-11-1	a sagittal t2 weighted mri
37what   fibroadipose tissue show?	aps-40-270-g002	hyperintensity on T1-weighted mri image
38what show hyper intensities suggestive of venous infarcts?	IJEM-17-538-g003	mri brain
39what show starry sky sign of disseminated neurocysticercosis?	JGID-3-306-g002	t2 weighted mri brain image
40what show lateral and third ventricle enlargement secondary to global atrophy?	crn-0006-0083-g02	coronal t2 weighted mri brain image
41what show extensive involvement of  spinal cord from t4 downwards with foci of t2w hyperintensity and meningeal enhancement?	1471-2334-12-232-2	mri thoracolumbar spine
42what shows a ventral subdural collection at c2 t1?	40064_2013_893_Fig3_HTML	sagittal weighted t2 weighted mri
43what shows prominent bilateral enhancing parietal occipital lesions on flair and t2 sequences and small areas of hyperintensity in  left periventricular white matter on diffusion weighted images?	cnd-0005-0020-g01	mri of  brain
44what show areas of hyper intensity involving brainstem?	JFMPC-3-443-g001	mri t2 weighted image
45what show an intact continuity of  acl graft and a possible tibial cyclops lesion?	1758-2555-2-24-1	 mri
46what show a mass in  right lobe of  liver?	co16-4-74f3	mri of  abdomen
47what show arachnoiditis?	IJA-54-68-g001	mri of  spinal cord
48what show moderate degenerative disc disease at l1 2?	JNRP-6-257-g004	a sagittal view of t2 weighted mri of lumbar spine
49what show basal enhancement of  leptomeninges?	crn-0007-0221-g02	t1 sequence of an mri
50what shows  placental invasion?	1757-1626-0002-0000008485-002	t2w spair sagittal mri of lower abdomen
51what show a pituitary macroadenoma with right cavernous sinus extension?	JFMPC-4-468-g003	mri of  brain
52what show external ventricular drain in situ with tumor cavity?	JPN-5-45-g007	axial section of noncontrast ct of head on postoperative day 1
53what show excellent anatomic details of pulmonary arteries with repaired coarctation of aorta?	kjr-11-4-g001	rendered ct image with non ecg synchronized spiral scan
54what depicts extravasation of contrast medium in a large diverticulum in  ascending duodenum?	40064_2013_1450_Fig1_HTML	ct angiography via  venous approach
55what   brain ct show?	jkns-54-42-g001	 mass effect with right subfalcine herniation
56what shows gas in  bladder and  bladder wall?	1476-0711-3-20-2	ct of  pelvis
57what show diffuse colonic calcification?	GMS-11-08-g-001	ct of  abdomen
58what show metastatic lesion to lymph node adjacent to superficial cervical plexus?	kjae-60-134-g003	neck ct image
