1what show  cystic nature of giant occipital encephalocele with small amount of brain tissue?	JNRP-3-68-g002	ct
2what show a subarachnoid hematoma near l5?	kjae-64-388-g001	mri
3what show longitudinally extensive transverse myelitis involving  cervical and upper thoracic cord?	AIAN-18-11-g002	mri
4what show pelvic chondrosarcoma?	ORT-85-438-g006	ct
5what show hypointense areas suggestive of fat?	JOMFP-19-92-g002	mri
6what show  dilated common bile duct with a filling defect within it indicating  tumor extending?	1752-1947-7-278-1	mri
7what show a mass in  frontal sinus?	ymj-52-1044-g001	ct
8what show myelocystocele with syrinx and communication?	JPN-6-55-g002	ct
9what show starry sky sign of disseminated neurocysticercosis?	JGID-3-306-g002	mri
10what show tumor involvement at  vertebral bodies of t3 and t4?	SNI-2-47-g003	mri
11what show local cancer recurrence involving left pelvis?	1477-7800-5-1-1	mri
12what show incomplete ring enhancement which is open towards  gray matter?	JPN-10-55-g002	ct
13what show resolution of lesions?	IJOrtho-48-220-g003	mri
14what show atrophy pituitary glands with preserved infundibulum and hypothalamus?	IJEM-16-501-g004	mri
15what show  diffuse atrophy in  cerebellum?	kjo-22-263-g001	mri
16what show a high grade lesion of  proximal insertion of  mcl?	ASJSM-4-158-g001	mri
17what show a left sphenoid sinus mass with homogeneous contrast enhancement?	0392-100X-33-347-g001	mri
18what show hyperintense mass in nasal cavity?	JNSBM-6-241-g004	ct
19what shows a large pituitary adenoma responsible for visual loss in both eyes?	jceh_25_79-80_001_f21	mri
20what show partial tearing of  supraspinatus tendon attachment?	IJSS-7-127-g003	mri
21who show epidural haematoma?	SHORTS-11-14501	ct
22what shows low ejection fraction with dilated cardiac chambers and diffuse enhancement of myocardium compatible with myocarditis?	icrj-08-178-g001	mri
23what  mri of  left knee show?	LJM-8-20359-g003	mri
24what show signal change within  cord?	JCVJS-2-82-g001	mri
25what show hypoechoic mass in distal pancreas?	AIAN-14-313-g002	ct
26what show  hematoma in  left aspect of  spinal canal?	asj-5-130-g002	mri
27what show an intra cardiac mass in  anterior side of  right atrial wall encasing a right coronary artery?	kjim-27-224-g002	ct
28what illustrates two distinct low signal intensity nodules with surrounding effusion posterior to  talo tibial joint?	1746-1340-15-18-6	mri
29what show marked effusion over left hip joint?	1752-1947-8-367-3	mri
30what shows foci of high signal in  cerebellum?	ijcn-8-001-g004	mri
31what is showing defect in  clivus with accompanying encephalocele?	SNI-3-23-g004	ct
32what show trileaflet valve between left atrium and morphological right ventricle?	eplasty13e06_fig6	ct
33what show occipital encephalocoele?	JPN-8-254-g001	ct
34what show disc protrusion compressing  left s1 root?	kjs-8-300-g003	ct
35what show absence of talar avn?	aob-21-226-g03	mri
36what show similar lesions involving  basal ganglia and  splenium of corpus callosum?	JPN-7-136-g002	mri
37what show bilateral symmetrical hyper intense lesions in periventricular white?	AIAN-16-425-g003	ct
38what is showing complete removal of meningioma?	AJNS-10-132-g003	ct
39what show  disc behind  body of c4 cervical vertebra appearing as hyperintense signal density?	asj-5-220-g004	ct
40what show a low density renal pelvic mass and hydronephrosis of  left kidney?	12957_2014_1881_Fig3_HTML	ct
41what was  mass of?	40064_2013_975_Fig2_HTML	mri
42what shows concurrent multiple intracranial tuberculoma?	kjs-12-5-g004	mri
43what show a tumorous lesion of  median nerve with a fascicular pattern?	1471-2377-4-19-2	ct
44what show thickening of  skin and edema with hyperintense signal that involves  muscles of both thighs?	IJD-53-217-g002	mri
45what show large lipoma extending subcutaneously through  bony defect?	IJOrtho-41-72-g006	mri
46what shows benign fibrocystic changes?	IJRI-19-266-g010	mri
47what proved rhabdoid meningioma?	JNRP-5-244-g008	ct
48what show  tail of  appendix communicating with  appendiceal abscess?	rjt12302	ct
49what show small and narrow airway of choanal space?	jkms-21-374-g004	mri
50what show bilateral multiple metastases in  lung parenchyma?	cro-0006-0504-g02	ct
51what is showing right lower lobe scarring and left upper lobe small nodules with focal pleural thickening?	1757-1626-2-83-1	mri
52what show complete resolution of hepatic metastasis?	1477-7819-3-3-3	mri
53what shows hemoperitoneum and a ruptured spleen?	crg-0006-0624-g01	mri
54what indicates osteolysis of  right condylar head ct of  head?	rjt13001	mri
55what show  volume of  left liver lobe?	12957_2015_654_Fig3_HTML	mri
56what show a mass of  right upper lobe and multiple pure ground glass opacity of  bilateral lungs?	1757-1626-0002-0000006910-001	ct
57what show a non occlusive saddle pulmonary embolism?	SaudiMedJ-36-747-g003	ct
58where is  well defined ossified mass shown?	1755-7682-7-5-2	mri
59what show a large subhepatic and perihepatic fluid collection with internal septations?	crj-02-113-g001	mri
60what show  facets in alignment?	JCVJS-5-59-g013	mri
61what shows reduction of  tumor and retention of ascites?	1477-7800-5-19-4	mri
62what show tumor in  left medial thigh?	1755-8166-6-50-1	mri
63what show shadows on liver at s4 and s8?	1756-0500-6-508-1	ct
64what shows  widen vestibular aqueduct?	ceo-2-100-g002	mri
65what show a mass in  right lower quadrant?	cro0002-0007-f01	mri
66what show a complete response?	TJH-31-188-g5	mri
67what show  conduit and both kidneys?	jls0031330420001	ct
68what show atrophy of  entire cerebellum?	JNRP-5-75-g002	mri
69what shows small calcified nodules with subpleural distribution and subpleural linear calcifications?	rb-48-04-0205-g03	ct
70what show  gap between  units and  binding bridge of tissue as well as  tumor?	CEJU-65-00100-g003	ct
71what shows enlarged lymph nodes involving  right axillary?	12883_2015_266_Fig1_HTML	mri
72what is showing hepatomegaly and enlarged spleen with multiple hypo dense lesions?	1757-1626-0002-0000006773-1	mri
73what show a splenic abscess communicating with anor subcutaneous abscess through  lower chest wall?	JFCM-6-45-g002	ct
74what   brain ct show?	jkns-54-42-g001	mri
75what show localized fluid collection suggestive of abscess in right iliac fossa?	JMAS-9-173-g001	mri
76what show right temporal exostosis along its entire length?	IJRI-23-333-g003	ct
77what  preoperative ct of paranasal sinus show?	ijo-25-183-g001	mri
78what was suggestive of an esophageal diverticulum communicating with apical segment of right upper lobe?	40064_2012_209_Fig2_HTML	mri
79what shows an area of increased uptake in  left paravertebral area?	1477-7819-8-45-1	mri
80what show a hepatic mass on  right lobe with hyperattenuating components suggesting acute bleeding?	1470-7330-14-18-12	mri
81what show  presence of a mass on  posterolateral aspect of  esophagus on  right?	jls0021127380001	mri
82what show  annular extension of tear?	1749-8090-3-28-4	mri
83what show diffuse and ulcer like severe thickening of  sigmoid wall with sparse diverticulas and perisigmoid fat infiltration?	1757-1626-0002-0000008469-001	ct
84what show heterogenous enhancing mass in right kidney?	IJCP-08-129f1	mri
85what show a 10 mm vent in  left posterolateral wall of  thoracic descending aorta?	LI-32-192-g003	mri
86what show mural thickening in  ascending colon?	SJG-18-143-g002	mri
87what show false and true lumens of  ascending aorta?	JCHIMP-4-25449-g002	mri
88what show irregular thickening of  posterior laryngeal wall?	IJRI-20-11-g002	mri
89what show a mass at  lumen of gallbladder?	1477-7819-8-12-2	mri
90what show descending scimitar vein in right lung field?	pamj-03-20-g002	ct
91what show excellent anatomic details of pulmonary arteries with repaired coarctation of aorta?	kjr-11-4-g001	mri
92what shows a polychorous cyst in  left hepatic lobe with rupture in  biliary tract?	1757-1626-0002-0000007374-001	mri
93what shows  diverticulum extending towards  head of  pancreas?	1757-1626-0002-0000006710-002	mri
94what show absence of liver involvement?	1477-7800-5-18-2	ct
95what show abnormal rotation of  proximal jejunum?	1749-7922-4-1-1	ct
96what show a large gastric mass associated with regional lymph node involvement?	IJCP-07-171f2	mri
97what show extent of lesion?	NJMS-2-210-g004	mri
98what  ct of  abdomen show?	biij-01-e4-g02	ct
99what show outgrowth osteophytes covering  anterior side of  vertebrae as well as local ossification of  posterior longitudinal ligament?	cia-9-553Fig3	ct
100what  chest ct with bone setting image show?	kjim-14-2-94-16f4	mri
101what show diffuse ground glass opacities?	LI-28-52-g002	mri
102what show right hypervascular renal mass compatible with rcc?	1757-1626-0002-0000006567-001	ct
103what show  acute hemorrhage in  pineal region extending to  third ventricle?	ymj-46-851-g001	mri
104what shows gastric intramural air suspicious for gastric emphysema with a small amount of air in peri gastric veins?	JCHIMP-5-28010-g001	mri
105what shows  coil mass in  left internal auditory meatus?	2186-3326-77-0307-g006	mri
106what shows an esophageal mass which compresses  left atrium?	kcj-40-354-g002	ct
107when show  size of  renal mass and  thrombus?	1477-7819-8-63-3	mri
108what show cortical venous thrombosis?	JPP-3-194-g001	ct
109what show a large cystic mass with central low density and no mediastinal or hilar lymphadenopathy?	kjim-17-1-78-15f2	mri
110what show free fluid and laceration of spleen?	1757-1626-0002-0000006450-1	mri
111what is seen as a focal lesion on mri?	JPN-6-72-g003	mri
112where   mri of  brain show a cortical based mass lesion?	IJPsyM-34-273-g001	ct
113what show extensive hypodensity in left temporoparietal region suggestive of infarct?	BCN-4-169-g001	mri
114what shows right m1 ruptured mycotic aneurysm?	SNI-4-144-g007	ct
115what show extensive low attenuation with mild mass effect predominantly affecting white matter bilaterally?	NAJMS-6-545-g001	mri
116what show sphenoid sinus hypoplasia with cystic fibrosis?	1806-3713-jbpneu-41-01-00065-gf05	ct
117what show abdominal cocoon in  mid abdomen with a membranous covering especially posteriorly and on  left side?	SJG-14-139-g001	mri
118what shows both healing of  liver laceration and resolution of  intra hepatic infection?	JETS-3-412-g004	mri
119what show free intraperitoneal gas compressing  splenic flexure?	rjt11803	ct
120what show tumor with increased vascularity in  periphery?	IJMPO-30-35-g001	ct
121what show an extent of mass?	IJCIIS-1-157-g001	mri
122what  are showing a transmigrated maxillary right lateral incisor and canine with pericoronal radiolucency?	isd-42-47-g002	mri
123what show heterogeneous enhancement of  lesion?	IJRI-18-60-g002	ct
124what show  origin of  aberrant right subclavian artery causing extrinsic compression of  esophagus?	JCHIMP-3-22091-g003	ct
125what show  massive pulmonary metastases and a left sided pneumothorax?	2045-3329-4-14-4	mri
126what shows an adrenal adenoma?	SHORTS-10-09801	mri
127what show evidence of gastrojejunostomy and visible foreign body in  stomach and features of small bowel obstruction?	rjt04601	ct
128what show multiple lymph nodes mainly at  right site of  neck?	1756-8722-6-69-1	ct
129what show eradication of  varices from  descending colon without recurrence?	crj-02-168-g003	mri
130what show a second patch placed laparoscopically on a recurrent incisional hernia repair without removal of  previous laparoscopically placed patch?	jsls-12-1-51-g08	mri
131what show right perinephric abscess reaching superiorly upto bare area of liver with inflammed appendix at its lower end below right kidney?	UA-2-29-g002	mri
132what show  absence of significant tracheal compression?	ijem-12-01-11463-g002	mri
133what are showing  osseous talocalcaneal coalition with  fracture line?	1471-2474-14-111-3	mri
134what show a nonocclusive thrombus within  main portal vein?	JCHIMP-3-20732-g001	ct
135what show posterior nasal sepal air cell?	IJRI-22-317-g024	ct
136what is unable to show continuity from  cyst to  maxillary sinus?	TOOPHTJ-5-25_F2B	ct
137what show left minimal sub dural hygroma with no midline shift and no evidence of cerebral edema or cerebral atrophy?	1757-1626-0002-0000006776-004	mri
138what shows marked progression of  subcutaneous metastases?	OL-08-02-0905-g01	mri
139what show multiple infarcts in kidneys and spleen just after  bronchial artery embolization?	jocmr-03-275-g002	ct
140what show areas of low attenuation affecting  white matter of both temporal lobes and  left frontoparietal lobe?	sfq113fig1	mri
141what  mri of  left thigh show?	1757-1626-3-67-3	ct
142what show paradoxical left middle turbinate?	IJRI-22-317-g018	mri
143what  abdominal ct show dilatation of?	crg-0008-0291-g01	mri
144what show large air filled right abdominal mass that appears to be a septic ovarian cyst?	rjv09901	mri
