,Images,balance
2297,1746-160X-7-20-2,0
2298,UA-3-103-g001,0
2299,LI-31-416-g002,0
2300,can-9-537fig4,0
2301,1757-1626-0002-0000006910-002,0
2302,kjae-59-S242-g002,0
2303,jls0031127850001,0
2304,jls0021330190002,0
2305,1752-1947-5-167-2,0
2306,ceo-2-100-g002,0
2307,jkms-19-759-g001,0
2308,JETS-7-136-g001,0
2309,JCVJS-2-57-g001,0
2310,1752-1947-5-483-3,0
2311,IJMPO-30-138-g002,0
2312,1471-2482-14-36-3,0
2313,kjim-14-1-73-11f1,0
2314,rjt00601,0
2315,1757-1626-2-9105-1,0
2316,kjhep-17-71-g003,0
2317,BCN-4-169-g001,0
2318,jls0041331770001,0
2319,1752-1947-1-145-1,0
2320,kcj-44-125-g003,0
2321,1413-7852-aob-22-01-00043-gf03,0
2322,IJSS-5-54-g003,0
2323,2045-709X-19-2-5,0
2324,JCDR-1-122-g001,0
2325,IJRI-24-327-g015,0
2326,rju04801,0
2327,isd-43-117-g003,0
2328,SNI-5-98-g004,0
2329,1806-3713-jbpneu-40-02-00183-gf03,0
2330,kju-51-287-g004,0
2331,IJRI-18-90-g004,0
2332,kcj-44-125-g003,0
2333,hepatmon-13-04-7957-g001,0
2334,IJNM-27-95-g003,0
2335,jkns-57-50-g001,0
2336,1757-1626-1-56-4,0
2337,jls0021127380001,0
2338,jsls-7-2-173-g01,0
2339,IJRI-23-287-g010,0
2340,1749-8090-8-112-3,0
2341,kcj-39-548-g002,0
2342,crg-0006-0624-g01,0
2343,1749-7922-9-7-2,0
2344,12878_2014_22_Fig2_HTML,0
2345,10.1177_2324709614542339-fig2,0
2346,ATM-04-143-g004,0
2347,SNI-6-36-g004,0
2348,1746-1596-6-55-1,0
2349,kjim-20-72-g002,0
2350,gov044f1p,0
2351,TOORTHJ-7-338_F3,0
2352,IJCCM-18-257-g002,0
2353,1865-1380-4-64-3,0
2354,SaudiMedJ-36-747-g004,0
2355,pone.0112686.g007,0
2356,1806-3713-jbpneu-41-03-00281-gf01,0
2357,crg-0006-0001-g02,0
2358,TOOPHTJ-2-91_F1c,0
2359,LI-31-397-g003,0
2360,1865-1380-4-64-4,0
2361,JIAPS-16-75-g002,0
2362,jsls-3-2-97-g01,0
2363,kjtcs-44-358-g003,0
2364,IDOJ-4-125-g002,0
2365,1477-7800-1-8-1,0
2366,TOORTHJ-7-614_F2,0
2367,12981_2015_51_Fig6_HTML,0
2368,crn-0006-0068-g01,0
2369,aapm-05-04-29716-g0020,0
2370,1477-9560-6-2-1,0
2371,jls0031331140004,0
2372,JCHIMP-4-25449-g001,0
2373,1757-1626-2-76-1,0
2374,cro-0007-0732-g03,0
2375,IJRI-22-334-g006,0
2376,jsls-3-2-97-g01,0
2377,IJRI-22-317-g005,0
2378,JNRP-4-138b-g002,0
2379,NAJMS-2-389-g001,0
2380,1471-230X-12-29-1,0
2381,JCIS-1-37-g013,0
2382,sfq122fig1,0
2383,JNRP-4-138b-g002,0
2384,crg0001-0184-f01,0
2385,1749-7922-8-60-1,0
2386,arh0021501290003,0
2387,IJRI-23-208-g002,0
2388,IJU-26-115-g002,0
2389,JNRP-4-125-g002,0
2390,medi-94-e1561-g006,0
2391,IJRI-19-216-g002,0
2392,kjim-14-2-82-13f1,0
2393,TOOPHTJ-3-26_F3,0
2394,1752-1947-5-362-2,0
2395,1757-1626-2-78-1,0
2396,JNRP-4-125-g002,0
2397,kjr-10-63-g011,0
2398,1471-2490-12-34-2,0
2399,1749-8090-4-12-11,0
2400,1757-1626-2-9386-2,0
2401,JPN-7-23-g003,0
2402,SJA-6-65-g002,0
2403,1471-2334-14-42-1,0
2404,rjv07201,0
2405,1752-1947-0003-0000008704-1,0
2406,1755-7682-4-17-5,0
2407,1757-1626-3-59-2,0
2408,1746-1340-15-18-6,0
2409,rju05902,0
2410,crg-0009-0081-g01,0
2411,arh0021501290003,0
2412,jkss-81-287-g001,0
2413,kjhep-17-71-g003,0
2414,SNI-1-52-g004,0
2415,SNI-6-30-g003,0
2416,sfs09501,0
2417,IJPD-20-118-g002,0
2418,1756-0500-6-166-2,0
2419,JPN-5-32-g001,0
2420,JGID-7-119-g001,0
2421,GHFBB-7-230-g007,0
2422,AnnGastroenterol-27-76-g001,0
2423,JCIS-1-54-g004,0
2424,1755-7682-3-17-2,0
2425,1746-160X-2-31-2,0
2426,IJRI-22-317-g016,0
2427,12981_2015_51_Fig6_HTML,0
2428,1756-0500-7-290-5,0
2429,SJG-14-144-g004,0
2430,1757-1626-0002-0000007836-002,0
2431,1748-7161-3-18-5,0
2432,medi-94-e788-g003,0
2433,JOMFP-15-299-g004,0
2434,JIAPS-15-39-g001,0
2435,medi-94-e406-g003,0
2436,IJU-29-151-g001,0
2437,rjv10604,0
2438,0392-100X-30-209-g003,0
2439,JGID-3-396-g001,0
2440,atr-03-04-18178-g004,0
2441,audio-2011-2-e28-g002,0
2442,2186-3326-76-0203-g004,0
2443,JSTCR-2-87-g001,0
