1what show  cystic nature of giant occipital encephalocele with small amount of brain tissue?	JNRP-3-68-g002	mri brain
2what show a subarachnoid hematoma near l5?	kjae-64-388-g001	t2 weighted sagittal mri
3what show longitudinally extensive transverse myelitis involving  cervical and upper thoracic cord?	AIAN-18-11-g002	T2-weighted mri scan
4what show pelvic chondrosarcoma?	ORT-85-438-g006	axial mri slice
5what show hypointense areas suggestive of fat?	JOMFP-19-92-g002	mri stir image
6what show  dilated common bile duct with a filling defect within it indicating  tumor extending?	1752-1947-7-278-1	mri image of  liver
7what show a mass in  frontal sinus?	ymj-52-1044-g001	coronal mri
8what show myelocystocele with syrinx and communication?	JPN-6-55-g002	mri t1w image
9what show starry sky sign of disseminated neurocysticercosis?	JGID-3-306-g002	t2 weighted mri brain image
10what show tumor involvement at  vertebral bodies of t3 and t4?	SNI-2-47-g003	t2-weighed sagittal mri
11what show local cancer recurrence involving left pelvis?	1477-7800-5-1-1	pre operative mri coronal view
12what show incomplete ring enhancement which is open towards  gray matter?	JPN-10-55-g002	mri of brain with gadolinium
13what show resolution of lesions?	IJOrtho-48-220-g003	followup mri brain
14what show atrophy pituitary glands with preserved infundibulum and hypothalamus?	IJEM-16-501-g004	mri brain
15what show  diffuse atrophy in  cerebellum?	kjo-22-263-g001	brain mri
16what show a high grade lesion of  proximal insertion of  mcl?	ASJSM-4-158-g001	mri t2 coronal and transversal images
17what show a left sphenoid sinus mass with homogeneous contrast enhancement?	0392-100X-33-347-g001	t1 weighted mri with intravenous gadolinium enhancement
18what show hyperintense mass in nasal cavity?	JNSBM-6-241-g004	sagittal section of mri
19what shows a large pituitary adenoma responsible for visual loss in both eyes?	jceh_25_79-80_001_f21	an mri
20what show partial tearing of  supraspinatus tendon attachment?	IJSS-7-127-g003	t2 weighted coronal mri
21who show epidural haematoma?	SHORTS-11-14501	mri cervical spine
22what shows low ejection fraction with dilated cardiac chambers and diffuse enhancement of myocardium compatible with myocarditis?	icrj-08-178-g001	cardiac mri
23what  mri of  left knee show?	LJM-8-20359-g003	marked flakes and nodular long signals on t2 weighted mri in  distal femur
24what show signal change within  cord?	JCVJS-2-82-g001	preoperative t2 weighted sagittal mri
25what show hypoechoic mass in distal pancreas?	AIAN-14-313-g002	axial section mri abdomen
26what show  hematoma in  left aspect of  spinal canal?	asj-5-130-g002	preoperative lumbar mri
27what show an intra cardiac mass in  anterior side of  right atrial wall encasing a right coronary artery?	kjim-27-224-g002	 mri of  heart
28what illustrates two distinct low signal intensity nodules with surrounding effusion posterior to  talo tibial joint?	1746-1340-15-18-6	sagittal mri of  left ankle
29what show marked effusion over left hip joint?	1752-1947-8-367-3	t2 weighted mri transverse plane of pelvis
30what shows foci of high signal in  cerebellum?	ijcn-8-001-g004	t2 weighted mri of  brain
31what is showing defect in  clivus with accompanying encephalocele?	SNI-3-23-g004	midline saggital t1 weighted mri with contrast
32what show trileaflet valve between left atrium and morphological right ventricle?	eplasty13e06_fig6	mri ssfp
33what show occipital encephalocoele?	JPN-8-254-g001	t2 weighted axial mri
34what show disc protrusion compressing  left s1 root?	kjs-8-300-g003	lumbar spine mri t2wi axial view
35what show absence of talar avn?	aob-21-226-g03	 t1 weighted mri image
36what show similar lesions involving  basal ganglia and  splenium of corpus callosum?	JPN-7-136-g002	mri axial t2 flair section
37what show bilateral symmetrical hyper intense lesions in periventricular white?	AIAN-16-425-g003	axial mri
38what is showing complete removal of meningioma?	AJNS-10-132-g003	post operative contrast enhanced mri spine
39what show  disc behind  body of c4 cervical vertebra appearing as hyperintense signal density?	asj-5-220-g004	mri t2 sagittal section
40what show a low density renal pelvic mass and hydronephrosis of  left kidney?	12957_2014_1881_Fig3_HTML	Abdominal T2-weighted mri study
41what was  mass of?	40064_2013_975_Fig2_HTML	of high intensity in t2 weighted mri images
42what shows concurrent multiple intracranial tuberculoma?	kjs-12-5-g004	case 11 mri brain with contrast
43what show a tumorous lesion of  median nerve with a fascicular pattern?	1471-2377-4-19-2	axial fat suppressed t2 weighted mri
44what show thickening of  skin and edema with hyperintense signal that involves  muscles of both thighs?	IJD-53-217-g002	t2 weighted mri with fat suppression technique
45what show large lipoma extending subcutaneously through  bony defect?	IJOrtho-41-72-g006	saggittal t1w mri
46what shows benign fibrocystic changes?	IJRI-19-266-g010	mri guided biopsy
47what proved rhabdoid meningioma?	JNRP-5-244-g008	a petroclival meningioma on mri and malignant features on histopathology
48what show  tail of  appendix communicating with  appendiceal abscess?	rjt12302	a coronal ct with contrast
49what show small and narrow airway of choanal space?	jkms-21-374-g004	three dimensional ct image of choanal air airway
50what show bilateral multiple metastases in  lung parenchyma?	cro-0006-0504-g02	a chest ct
51what is showing right lower lobe scarring and left upper lobe small nodules with focal pleural thickening?	1757-1626-2-83-1	ct of  chest
52what show complete resolution of hepatic metastasis?	1477-7819-3-3-3	post radiofrequency ablation ct image
53what shows hemoperitoneum and a ruptured spleen?	crg-0006-0624-g01	cross section ct of  abdomen
54what indicates osteolysis of  right condylar head ct of  head?	rjt13001	arrow in  ct of  head
55what show  volume of  left liver lobe?	12957_2015_654_Fig3_HTML	ct image
56what show a mass of  right upper lobe and multiple pure ground glass opacity of  bilateral lungs?	1757-1626-0002-0000006910-001	chest ct
57what show a non occlusive saddle pulmonary embolism?	SaudiMedJ-36-747-g003	spiral ct of  chest
