1	rjv03401	what does mri show?	lesion at tail of pancreas
2	AIAN-14-313-g002	where does axial section mri abdomen show hypoechoic mass?	in distal pancreas
3	wjem-11-76f3	what do the arrows denote in the noncontrast ct scan image of pelvis?	complex fluid collection with layering consistent with hematoma
4	ccr30002-0045-f3	what was normal?	blood supply to the brain
5	rjt01904	what shows evidence of a contained rupture?	repeat ct scan of the abdomen
6	IJSS-7-2013-03-002-g002	what does preoperative ct demonstrate?	severe loosening of the pedicle screws at l3 and l5
7	NMJ-54-283-g002	what does the axial contracted CT section show?	hypodense nodular lesion in the right adrenal gland
8	IJRI-19-235-g003	where does sagittal reformatted ct scan of the pelvis show a contrastfilled vagina?	separate and posterior to the urinary bladder
9	1471-2482-13-16-2	what does coronal ct scan demonstrate?	incisional lumbar hernia
10	IJMR-136-221-g003	what shows site and size of infarct in three study patients?	magnetic resonance imaging
11	1471-2474-15-218-3	what does coronal reformatted ct image demonstrate multiple bilateral nofs of?	of both the distal femurs and proximal tibias
12	1756-0500-6-97-3	where does ct scan show enlarged lymph node?	in the left axilla
13	1749-8090-2-12-6	what shows complete healing of the lesion?	post operative contrast ct
14	IJEM-16-509-g002	what does mri brain show?	hypoplastic pituitary with visible stalk and absent splenium of corpus callosum
15	kjhbps-16-84-g001	where does ct show a cholecysto duodenal fistula and an impacted gallstone?	in the duodenum
16	SNI-4-153-g003	what shows dilatation of the vertebrobasilar artery and the internal carotid arteries?	axial magnetic resonance angiography of the brain
17	pone.0120110.g003	what are shown as areas without signal intensity?	portosystemic collaterals
18	1477-7819-6-47-1	what shows dilated small bowel loops and concentric thickening of caecal wall close to the ileocaecal junction?	an axial ct image
19	JETS-4-309-g001	what shows starfield findings of fes?	mri
20	sfu07501	what does coronal ct show?	perinephric fluid surrounding renal cortex and parapelvic fluid
21	kjae-60-134-g003	what shows metastatic lesion to lymph node adjacent to superficial cervical plexus?	neck ct image
22	ott-8-2739Fig2	when does magnetic resonance imaging show the disappearance of the paraspinal tumor?	after erlotinib treatment
23	kjim-21-279-g002	what demonstrates diffuse peribronchial infiltrates and bronchial thickening of the left lower and right middle and lower bronchi without luminal narrowing?	chest ct scan
24	JRMS-18-86-g001	where does T2 weighted cervical MRI demonstrate mixed hyperintense lesion?	in anterior subarachnoid space
25	IJRI-18-230-g002	what does axial contrast-enhanced ct scan show?	a large heterogeneous mass in the left half of the retroperitoneum with a fatty component posteriorly
26	1757-1626-2-10-1	what does magnetic resonance imaging show?	the splenomegaly and the hemangioms
27	JNRP-3-84-g003	what does mri show?	the typical well defined cystic lesion in pons with intracavitary scolex
28	0392-100X-32-202-g001	what does ct scan show?	a bony mass in the left maxillary antrum
29	IJA-56-502-g006	what does t2 weighted magnetic resonance imaging of cervicomedullary junction show?	basilar invagination
30	1757-1626-1-185-1	what does ct scan show after a right nephrectomy for primary rcc?	an adrenal metastasis to the contralateral gland
31	1756-0500-5-459-1	what does coronal ct scan demonstrate?	a minimal amount of pneumocephalus and defect in the left ethmoid roof adjacent to the middle turbinate insertion following fess
32	jkms-20-313-g002	what reveals multiple septated cystic lesion in the spleen?	abdominal ct
33	1806-3713-jbpneu-41-03-00286-gf01	what are showing patchy areas of ground glass attenuation, small nodules, and nodular reversed halo signs in both lower lobes of the lungs?	hrct scans
34	JFMPC-3-443-g002	what does mri t2 weighted image show areas of?	of hyper intensity involving caudate nucleus and thalamus
35	1472-6815-12-10-3	what does the arrow in MRI coronal section T1 + Gadolinium show?	area with enhancement in left pars petrosa
36	rjt11401	what shows a transition point in the right lower quadrant?	image from ct scan
37	1756-0500-6-508-1	what does abdominal ct show?	shadows on liver at s4 and s8
38	ndtplussfr059f02_ht	what demonstrates bilateral hypodense kidneys with preserved blood flow at the left upper pole?	a ct scan
39	1746-160X-9-9-4	what shows enhancement of the left cavernous sinus with some defects?	contrast enhanced t1 mri
40	kjim-21-279-g002	what does chest ct scan demonstrate without luminal narrowing?	diffuse peribronchial infiltrates and bronchial thickening of the left lower and right middle and lower bronchi
41	UA-2-130-g001	what does noncontrast transverse ct image show?	a large well delineated fatty mass with some dense attenuation areas inside on the lateral aspect of right kidney which is displaced medially
42	PAMJ-21-213-g001	what does preoperative mri show?	lesion with low signal in t1wi and heterogeneous high signal in t2wi
43	cro0004-0106-f03	what does Cerebral MRI scan show?	pathologic infiltration due to vasculitic change in both temporal lobes
44	AJNS-9-242b-g003	what is the complete resection of the metastatic lesion replaced by?	an heterologous cranioplasty
45	cro-0006-0090-g03	what shows bilateral lung metastasis?	a ct scan
46	cro-0005-0035-g04	what does ct show massive destruction of with extension to the left mastoid and frontal bone?	the sphenoid bone
47	cureus-0007-000000000334-i01	what does non contrast ct head demonstrate?	vasogenic edema surrounding underlying dva
48	SHORTS-10-07501	what are multiple loculated lesions within the liver identified as?	possible metastatic lesions or pyogenic abscesses
49	mjhid-5-1-e2013006f5	what shows presence of intense fdg uptake in the gastric curvatures with thickening?	pet images
50	13044_2015_15_Fig1_HTML	what is the large fluid collection arising from left thyroid mass suggestive of?	an abscess
51	LI-32-155-g002	what does contrast enhanced ct scan of thorax show complete collapse of?	the left lung
52	crg0004-0330-f01	what does a ct scan of the abdomen show?	multiple low density lesions on the spleen and liver
53	JCHIMP-5-27664-g001	where does contrast magnetic resonance imaging of the brain show scattered areas of t2 hyper intense signal?	within the white matter of the right cerebral hemisphere in the watershed areas
54	kjim-14-2-82-13f1	what does an abdominal ct scan demonstrate with the air fluid level located outside the greater curvature of the stomach?	an abscess
55	ccr30002-0281-f2	what shows stentless aortic valve in cross section?	ct image of pre-tavr
56	IJCP-07-171f2	what shows a large gastric mass associated with regional lymph node involvement?	axial contrast enhanced ct scan of the upper abdomen
57	kjr-16-729-g003	what does Axial CT image of Phantom 1 using laser navigation system show?	needle reaching its target position
58	crg-0007-0014-g01	where is the gourd-shaped, fluid-filled structure with thickened wall located?	posterior to the bladder
59	eplasty13e06_fig6	what shows trileaflet valve between left atrium and morphological right ventricle?	mri ssfp
60	SHORTS-10-02501	what shows high intensity signal lesions within subcortical white matter and single larger lesion in left parietal region?	mri brain
61	1757-1626-3-52-2	what does axial ct scan with contrast of the neck show?	the lesion with peripheral enhancement and hypodense necrotic center in the subcutaneous tissue of the posterior neck triangle
62	IJRI-22-317-g013	what is surrounded by air?	50% of the type iii optic nerve
63	WIITM-7-17665-g005	what is normal?	the ml appearance in mri
64	IPJ-20-120-g006	what does mri brain show?	subcortical lesions in frontal and temporal regions
65	JIAPS-20-116-g004	what shows a low lying tethered cord?	sagittal t2 weighted magnetic resonance imaging
66	rjt01904	what does repeat ct scan of the abdomen show evidence of?	of a contained rupture
67	1756-0500-7-191-3	what shows a small optic chiasm, a hypoplastic pituitary stalk, an empty sella and a partial hypoplasia of corpus callosum?	sagital t1w magnetic resonance image
68	crn0002-0157-f02	what does the brain mri in t2 flair show?	the resolution of the central pontine lesions
69	pone.0112686.g007	what is placed into the left anterior mandible?	barium sulfate injection into an intraosseous access
70	rjt09803	what shows minimal cellular activity on repeated pet scanning?	the mass
71	1471-2253-7-2-2	what does axial reconstruction from a ct scan upon patient arrival show?	mild prominence of the prevertebral soft tissues
72	IJOrtho-47-107-g003	what does the mri show?	the lesion extending the ankle joint and the anterior soft tissue
73	rjv05802	what does ct abdomen pelvis show?	large inflammatory caecal mass
74	1757-1626-1-203-2	what does postoperative mri show?	evidence of injury due to herniation
75	1757-1626-0002-0000006463-001	what does ct scan with contrast of the chest show?	narrowing of the svc
76	JPN-6-46-g013	what do the ct scan axial and sagittal images show?	calcification
77	1477-7819-6-60-1	what is the size of the tumor?	2,5 cm
78	SAS-5-2010-11-001-g002	what does cranial ct scan of severe headache clearly show?	intracranial subdural hematoma in the left hemisphere
79	kjr-10-63-g010	what does transverse ct image demonstrate?	focal defect in inflamed appendiceal wall and periappendiceal inflammatory stranding
80	10.1177_2324709615587528-fig2	what is circumscribed by the yellow line?	a subglottic mass and anterior tracheal wall thickening with some calcifications
81	1477-7819-8-63-3	when shows the size of the renal mass and the thrombus?	ct reconstruction of the abdomen
82	medi-94-e761-g001	what does neck ct scan show?	a hypodense lesion in the right parapharyngeal space with peripheral enhancement
83	JETS-7-136-g001	what shows dilatation of the stomach?	abdominal ct
84	can-4-197f1	what shows a left supraclavicular mass that takes contact with the left jugular vein and the left sternocleidomastoid muscle?	axial ct scan of the neck
85	BCN-4-169-g001	what does brain ct show?	extensive hypodensity in left temporoparietal region suggestive of infarct
86	jovr_v06_no4_09f1b	what does brain mri in multiple sclerosis show?	multiple lesions located in the white matter of both hemispheres
87	TOORTHJ-4-39_F3	what demonstrates spinal cord impingement at the c3 c4 level?	cervical spine mri
88	ijcn-8-001-g003	what demonstrates resolution of hypersignal zones?	flair mri
89	cro0004-0012-f02	what does abdominal ct scan show?	a retroperitoneal mass on the left side of the aorta compressing the left renal vein
90	wjem-16-625-g001	what does mri demonstrate?	tuberculoma
91	JCIS-2-52-g013	what reveals abnormality in the right mandible with expansion of the buccal and lingual cortical plates?	3d ct
92	jkms-23-324-g002	what reveals nonspecific findings including multiple white matter low densities?	brain mri
93	SNI-3-23-g004	what is also observed?	Naso-pharyngeal teratoma
94	OL-08-06-2741-g02	what does axial gadolinium enhanced t1 weighted fat suppressed magnetic resonance image show at the pancreas head and uncinate process?	significant enhancement of the mass
95	IJOrtho-41-91-g005	what does color volume rendered 3d ct of a left iliac gct show?	spatial depiction of the tumor with nearby common iliac vessels
96	OL-05-05-1491-g03	what does t1 weighted magnetic resonance imaging section through the brain show single brain metastasis from?	from lung disease
97	IJU-26-115-g002	what does the ct angiogram show?	ruptured artery supplying the interpole
98	rjt05401	what does preoperative ct scan show?	a fracture of the left orbital floor with entrapment of the inferior rectus muscle
99	IJRI-22-317-g015	what shows type iv optic nerve bilaterally?	coronal ct
100	arh0011501210002	what shows the absence of encephalocele or active csf leak?	magnetic resonance cisternography picture
101	jnm-18-218-g001	what does abdominopelvic ct reveal?	fecal impaction in a megarectum
102	arm-36-418-g001	what shows diffuse hypoxic brain damage?	brain magnetic resonance imaging
103	1757-1626-0002-0000006250-001	what does ct show?	the localisation of the drain that migrated in the right iliac fossa
104	0392-100X-33-350-g002	what does axial ct show?	the presence of a soft tissue mass arising within the muscles of the right cheek
105	1749-799X-1-11-1	what does a sagittal t2 weighted mri show thickening and pathological appearance of?	of the acl
106	1757-1626-2-9388-2	what reveals a uterus with dilated cavity on top of the dilated cervix?	ct scan of the abdomen
107	ATM-6-57-g007	what do axial contrast enhanced ct and a pulmonary angiogram show?	dilated pulmonary vasculature
108	edmcr-2013-130046-g004	where does cect scan of patient show large heterogenous mass?	in left lower lung field with necrosis and calcification
109	JFMPC-3-443-g001	what does mri t2 weighted image show?	areas of hyper intensity involving brainstem
110	1472-6882-14-114-3	what does brain mri with contrast show complete resolution of?	relapsed lymphoma
111	ndt-9-1853Fig2	where do postoperative axial t1 and sagittal t2 weighted magnetic resonance images show active contacts of electrodes?	in the lobulus centralis and in the culmen of the anterior lobe of cerebellum
112	1477-7819-3-3-3	what shows complete resolution of hepatic metastasis?	post radiofrequency ablation ct scan image
113	13104_2015_1149_Fig2_HTML	what does ct angiography of the lower limbs show?	poor patency of the operated arterial axis, and a change in contrast at the beginning of the popliteal artery
