1	ATM-02-80-g002	what does thorax ct show?	regression in the infiltrations
2	AJNS-8-48-g001	where does the ct scan show the hematoma?	left parietal area
3	1477-7819-2-41-1	what does the ct scan show?	a paraesophageal and retrotracheal mass
4	iranjradiol-10-99-g001	what does the mri demonstrate?	non mass-like enhancement
5	Tanaffos-10-072-g001	what does the ct scan of the chest show?	minimal basilar atelectasis
6	40064_2015_1079_Fig1_HTML	what does the high resolution ct scan of the chest show?	bilateral ground glass opacities
7	JETS-8-119-g001	what does the 3d ct image show?	calcification of the longus colli muscle
8	kjs-9-137-g005	what does the axial ct scan show?	a screw in the thoracic spine
9	SNI-3-37-g001	where is the lesion located?	pineal region
10	JPN-5-1-g005	what does the ct angiogram show within the tumor?	feeding vessels and vascularity of the tumor
11	1752-1947-5-362-1	what is the lesion consistent with?	pulmonary contusion
12	PG-9-24107-g002	what does the post contrast abdomen ct show?	a submucosal lesion in the anterior wall of the gastric antrum
13	AIAN-15-51-g002	what does the axial section of mri of cervical spine show (arrow)?	dumbbell shaped schwannoma
14	1752-1947-4-216-1	what does the ct scan show?	a nodular mass on the dome of bladder
15	IJU-27-137-g001	where is the seminal vesicle located?	between the bladder and rectum
16	LI-30-148-g003	what does the ct scan show around the heart?	pneumopericardium
17	1757-1626-2-9325-1	what is the size of the mass?	5 cm
18	cro-0008-0142-g01	what does the ct scan of the chest show?	Right apical tumour with mediastinal extension
19	JCIS-5-18-g015	what does the t1 weighted sagittal post contrast mri image show?	uterus with multiple fibroids
20	LI-26-130-g002	what does the ct scan show?	metastasis in both lungs
21	jmdh-8-109Fig2	where is the soft tissue mass extending beyond?	the bone cortex
22	WJNM-10-20-g003	what does the ct urogram show?	a urinary bladder mass
23	JCDR-3-36-g002	what does the abdominal ct demonstrate?	a large, heterogenous para-aortic mass
24	rju14602	what structure does the lesion infiltrate?	main trunk of the left pulmonary artery
25	FVVinObGyn-3-135-149-g008	what is this MRI showing?	a Dandy-Walker malformation
26	IJPD-21-256-g001	what does the brain mri show (white arrows)?	multiple subcortical tubers
27	SNI-3-26-g002	what does this axial t2 mri image at the craniocervical junction demonstrate?	cerebellar tonsils and syringomyelia
28	1757-1626-3-57-2	what is this ct scan showing?	malrotated large loopy colon and distended small bowel
29	ABR-1-23-g001	what structures are shown to be deviated?	medial wall of maxillary sinus and nasal septum
30	kjae-58-197-g002	what is seen in the center of the trachea?	tracheal tube
31	rju12901	what does the ct show?	hepatic lacerations
32	IDOJ-4-43-g004	what does the mri show (white arrow)?	small fluid collection
33	1757-1626-1-84-1	where does the CT scan demonstrate?	 metastasis in the spleen
34	IJRI-23-258-g006	what does the axial t2wi mri show?	hyperintense collection
35	cro-0005-0030-g01	what does the abdominal ct show?	a renal mass
36	crg-0006-0425-g01	does the ct image indicate mechanical obstruction of the bowel?	no
37	1749-7922-8-2-3	what does ct scan show int he diaphragmatic hernia?	loop of colon
38	1471-2334-11-358-1	is this a normal ct?	yes
39	12887_2015_356_Fig3_HTML	what does the magnetic resonance image show?	an enlarged heterogenous mass
40	can-4-193f1	what does the post contrast axial ct image show hypodense mural thickening of?	the cecum
41	ymj-52-859-g001	Is the superior mesenteric artery lumen normal?	no
42	JCIS-5-18-g012	what type of image is this?	MRI
43	1757-1626-0002-0000008070-003	what does the chest ct show?	bronchogenic cyst
44	1752-1947-5-342-3	what type of image is this?	axial fused pet ct scan
45	12957_2014_1855_Fig1_HTML	what does magnetic resonance imaging show?	the stenosis of the common bile duct
46	can-7-289fig1	where could the mass be arising from?	the right adrenal gland/the right kidney
47	SaudiMedJ-36-252-g001	what is the abdominal ct revealing?	foreign bodies in the colon and rectum
48	JCIS-5-18-g015	what kind of MRI view is this?	sagittal
49	1757-1626-2-9325-3	Does the mass show absence or presence of cystic degeneration?	presence
50	HV-13-149-g001	which artery is the ischemic stroke associated with?	right middle cerebral artery
51	NAJMS-4-520-g002	Is this a contrast imaging study?	no
52	rju07803	what does the ct scan show?	acute angulation of left lung hilum and complete obstruction of left lower lobe bronchus
