1what  thorax ct show?	ATM-02-80-g002	regression in  infiltrations
2where   ct show  hematoma?	AJNS-8-48-g001	left parietal area
3what   ct show?	1477-7819-2-41-1	a paraesophageal and retrotracheal mass
4what   mri show?	iranjradiol-10-99-g001	non mass-like enhancement
5what   ct of  chest show?	Tanaffos-10-072-g001	minimal basilar atelectasis
6what   high resolution ct of  chest show?	40064_2015_1079_Fig1_HTML	bilateral ground glass opacities
7what   3d ct image show?	JETS-8-119-g001	calcification of  longus colli muscle
8what   axial ct show?	kjs-9-137-g005	a screw in  thoracic spine
9where is  lesion located?	SNI-3-37-g001	pineal region
10what   ct angiogram show within  tumor?	JPN-5-1-g005	feeding vessels and vascularity of  tumor
11what is  lesion consistent with?	1752-1947-5-362-1	pulmonary contusion
12what   post contrast abdomen ct show?	PG-9-24107-g002	a submucosal lesion in  anterior wall of  gastric antrum
13what   axial section of mri of cervical spine show (arrow)?	AIAN-15-51-g002	dumbbell shaped schwannoma
14what   ct show?	1752-1947-4-216-1	a nodular mass on  dome of bladder
15where is  seminal vesicle located?	IJU-27-137-g001	between  bladder and rectum
16what   ct show around  heart?	LI-30-148-g003	pneumopericardium
17what is  size of  mass?	1757-1626-2-9325-1	5 cm
18what   ct of  chest show?	cro-0008-0142-g01	Right apical tumour with mediastinal extension
19what   t1 weighted sagittal post contrast mri image show?	JCIS-5-18-g015	uterus with multiple fibroids
20what   ct show?	LI-26-130-g002	metastasis in both lungs
21where is  soft tissue mass extending beyond?	jmdh-8-109Fig2	 bone cortex
22what   ct urogram show?	WJNM-10-20-g003	a urinary bladder mass
23what   abdominal ct show?	JCDR-3-36-g002	a large
24what structure   lesion infiltrate?	rju14602	main trunk of  left pulmonary artery
25what is this mri showing?	FVVinObGyn-3-135-149-g008	a Dandy-Walker malformation
26what   brain mri show (white arrows)?	IJPD-21-256-g001	multiple subcortical tubers
27what  this axial t2 mri image at  craniocervical junction show?	SNI-3-26-g002	cerebellar tonsils and syringomyelia
28what is this ct showing?	1757-1626-3-57-2	malrotated large loopy colon and distended small bowel
29what structures are shown to be deviated?	ABR-1-23-g001	medial wall of maxillary sinus and nasal septum
30what is seen in  center of  trachea?	kjae-58-197-g002	tracheal tube
31what   ct show?	rju12901	hepatic lacerations
32what   mri show (white arrow)?	IDOJ-4-43-g004	small fluid collection
33where   ct show?	1757-1626-1-84-1	 metastasis in  spleen
34what   axial t2wi mri show?	IJRI-23-258-g006	hyperintense collection
35what   abdominal ct show?	cro-0005-0030-g01	a renal mass
36  ct image indicate mechanical obstruction of  bowel?	crg-0006-0425-g01	no
37what  ct show int he diaphragmatic hernia?	1749-7922-8-2-3	loop of colon
38is this a normal ct?	1471-2334-11-358-1	yes
39what   magnetic resonance image show?	12887_2015_356_Fig3_HTML	an enlarged heterogenous mass
40what   post contrast axial ct image show hypodense mural thickening of?	can-4-193f1	 cecum
41Is  superior mesenteric artery lumen normal?	ymj-52-859-g001	no
42what type of image is this?	JCIS-5-18-g012	mri
43what   chest ct show?	1757-1626-0002-0000008070-003	bronchogenic cyst
44what type of image is this?	1752-1947-5-342-3	axial fused pet ct
45what  mri show?	12957_2014_1855_Fig1_HTML	 stenosis of  common bile duct
46where could  mass be arising from?	can-7-289fig1	 right adrenal gland/ right kidney
47what is  abdominal ct showing?	SaudiMedJ-36-252-g001	foreign bodies in  colon and rectum
48what kind of mri view is this?	JCIS-5-18-g015	sagittal
49Does  mass show absence or presence of cystic degeneration?	1757-1626-2-9325-3	presence
50which artery is  ischemic stroke associated with?	HV-13-149-g001	right middle cerebral artery
51Is this a contrast imaging study?	NAJMS-4-520-g002	no
52what   ct show?	rju07803	acute angulation of left lung hilum and complete obstruction of left lower lobe bronchus
53in which lung is  consolidation seen?	13017_2015_6_Fig1_HTML	right
54what is  longest diameter of  mass?	kjim-19-1-62-12f1	12 cm
55asides from  tumor	1758-3284-3-37-4	nan
56what   coronal ct show?	1758-3284-3-37-4	large tumor in  left orbit
57what  flair imaging and diffusion weighted imaging show?	crn0003-0252-f01	acute lesions in both parietal lobes and  left frontal lobe
58what   ct show?	JIAPS-15-104-g001	well defined duplication cysts
59what   t1 weighted axial mri image show?	JCIS-5-18-g012	a single intramural fibroid
60what  this  lumbar spine mri show?	kjs-9-300-g001	multiple spinal stenosis
61what   ct on abdomen show?	ic-46-261-g001	air bubble
62what kind of ct image is this?	SNI-4-144-g008	sagittal reconstruction
63where  ct of brain show symmetric calcification?	JNSBM-3-90-g003	in  posterior fossa
64what  ct of  thorax show?	ASJSM-1-223-g002	thickened pleura
65what   sagittal mri of  cervical spine show?	1757-1626-1-416-2	abnormal prevertebral tissue formatted by  osteophytes
66what is this ct showing distended?	1757-1626-3-57-2	small bowel
67what   ct of  sinuses show?	1752-1947-0003-0000008496-4	large septal perforation
68what did  lesion erode?	rt-2013-3-e33-g003	 anterior bone cortex of left femur
69how is  abnormality in  spinal cord shown?	IJNL-12-069-g001	low signal intensity
70what is  sac-like organ show in this image?	IJRI-20-135-g003	gall bladder
71what   mri of  cervical spine show?	SAS-1-2007-0114-CR-g004	spinal stenosis with dural compression
72what are  hyperintense lesions consistent with?	jkms-21-958-g001	edema
73what   ct of  abdomen show?	1757-1626-0002-0000006331-001	a retroperitoneal mass
74who   mri spine show?	JGID-4-184-g001	spondylodiscitis
