1what  thorax ct show?	regression in  infiltrations	rju04501
2where   ct show  hematoma?	left parietal area	hepatmon-14-12-25788-g001
3what   ct show?	a paraesophageal and retrotracheal mass	IJOrtho-47-107-g003
4what   mri show?	non mass-like enhancement	1757-1626-2-83-1
5what   ct of  chest show?	minimal basilar atelectasis	1757-1626-1-417-1
6what   high resolution ct of  chest show?	bilateral ground glass opacities	kjp-53-2-215f2
7what   3d ct image show?	calcification of  longus colli muscle	cia-9-553Fig3
8what   axial ct show?	a screw in  thoracic spine	1752-1947-2-254-1
9where is  lesion located?	pineal region	kjim-27-224-g002
10what   ct angiogram show within  tumor?	feeding vessels and vascularity of  tumor	SNI-5-68-g001
11what is  lesion consistent with?	pulmonary contusion	13104_2014_3309_Fig2_HTML
12what   post contrast abdomen ct show?	a submucosal lesion in  anterior wall of  gastric antrum	kjim-18-4-260-13f3
13what   axial section of mri of cervical spine show (arrow)?	dumbbell shaped schwannoma	hepatmon-14-12-25788-g001
14what   ct show?	a nodular mass on  dome of bladder	SNI-6-30-g003
15where is  seminal vesicle located?	between  bladder and rectum	AMS-10-23771-g002
16what   ct show around  heart?	pneumopericardium	0392-100X-35-58-g002
17what is  size of  mass?	5 cm	1757-1626-2-83-1
18what   ct of  chest show?	Right apical tumour with mediastinal extension	IJNM-29-38-g002
19what   t1 weighted sagittal post contrast mri image show?	uterus with multiple fibroids	hepatmon-14-12-25788-g001
20what   ct show?	metastasis in both lungs	0392-100X-33-350-g002
21where is  soft tissue mass extending beyond?	 bone cortex	IJU-26-115-g002
22what   ct urogram show?	a urinary bladder mass	1757-1626-0002-0000007836-003
"23what   abdominal ct show?	a large, heterogenous para-aortic mass	AJNS-5-70-g001"
24what structure   lesion infiltrate?	main trunk of  left pulmonary artery	kjim-9-1-43-8f1
25what is this mri showing?	a Dandy-Walker malformation	JRMS-18-89-g007
26what   brain mri show (white arrows)?	multiple subcortical tubers	1758-2555-1-17-2
27what  this axial t2 mri image at  craniocervical junction show?	cerebellar tonsils and syringomyelia	TOORTHJ-8-372_F4
28what is this ct showing?	malrotated large loopy colon and distended small bowel	pone.0120110.g003
29what structures are shown to be deviated?	medial wall of maxillary sinus and nasal septum	1477-7819-6-60-1
30what is seen in  center of  trachea?	tracheal tube	hepatmon-14-12-25788-g001
31what   ct show?	hepatic lacerations	SNI-5-55-g002
32what   mri show (white arrow)?	small fluid collection	hepatmon-14-12-25788-g001
33where   ct show?	 metastasis in  spleen	SNI-5-55-g002
34what   axial t2wi mri show?	hyperintense collection	1757-1626-0002-0000007836-003
35what   abdominal ct show?	a renal mass	1757-1626-0002-0000007983-003
36  ct image indicate mechanical obstruction of  bowel?	no	UA-4-38-g006
37what  ct show int he diaphragmatic hernia?	loop of colon	biij-02-e20-g02
38is this a normal ct?	yes	idmm-25-227-1
39what   magnetic resonance image show?	an enlarged heterogenous mass	IJRI-18-60-g002
40what   post contrast axial ct image show hypodense mural thickening of?	 cecum	ASM-30-482-g001
41Is  superior mesenteric artery lumen normal?	no	PAMJ-18-284-g004
42what type of image is this?	mri	1749-8090-8-46-3
