"1	what  thorax ct show?	ATM-02-80-g002	in  right breast"
"2	where   ct show  hematoma?	AJNS-8-48-g001	a liver hemangioma with abdominal pain"
"3	what   ct show?	1477-7819-2-41-1	 lesion extending  ankle joint and  anterior soft tissue"
"4	what   mri show?	iranjradiol-10-99-g001	right lower lobe scarring and left upper lobe small nodules with focal pleural thickening"
"5	what   ct of  chest show?	Tanaffos-10-072-g001	 lung nodules"
"6	what   high resolution ct of  chest show?	40064_2015_1079_Fig1_HTML	 presence of hemoperitoneum and a perisplenic hematoma"
"7	what   3d ct image show?	JETS-8-119-g001	outgrowth osteophytes covering  anterior side of  vertebrae as well as local ossification of  posterior longitudinal ligament"
"8	what   axial ct show?	kjs-9-137-g005	in  femoral inter condylar notch"
"9	where is  lesion located?	SNI-3-37-g001	an intra cardiac mass in  anterior side of  right atrial wall encasing a right coronary artery"
"10	what   ct angiogram show within  tumor?	JPN-5-1-g005	an abscess"
"11	what is  lesion consistent with?	1752-1947-5-362-1	 toothbrush spanning  nasopharynx and oropharynx"
"12	what   post contrast abdomen ct show?	PG-9-24107-g002	mri"
"13	what   axial section of mri of cervical spine show (arrow)?	AIAN-15-51-g002	a liver hemangioma with abdominal pain"
"14	what   ct show?	1752-1947-4-216-1	on  right side"
"15	where is  seminal vesicle located?	IJU-27-137-g001	polycyclic neck mass closely adjacent to laryngeal cartilages"
"16	what   ct show around  heart?	LI-30-148-g003	3 cm in diameter"
"17	what is  size of  mass?	1757-1626-2-9325-1	right lower lobe scarring and left upper lobe small nodules with focal pleural thickening"
"18	what   ct of  chest show?	cro-0008-0142-g01	enhancing soft tissue thickening in right epidural space corresponding to metabolic activity seen on fdg pet ct image"
"19	what   t1 weighted sagittal post contrast mri image show?	JCIS-5-18-g015	a liver hemangioma with abdominal pain"
"20	what   ct show?	LI-26-130-g002	within  muscles of  right cheek"
"21	where is  soft tissue mass extending beyond?	jmdh-8-109Fig2	ruptured artery supplying  interpole"
"22	what   ct urogram show?	WJNM-10-20-g003	unilocular subcapsular fluid filled collection in  right lobe of  liver"
"23	what   abdominal ct show?	JCDR-3-36-g002	an irregularly enhancing mass in  right medial temporal lobe anteriorly in  close proximity to  cavernous sinus and oculomotor nerve"
"24	what structure   lesion infiltrate?	rju14602	brain"
"25	what is this mri showing?	FVVinObGyn-3-135-149-g008	multiple demyelinating plaques"
